lambda1,lambda2,epochs,train_sec,val_macro_f1_last,val_macro_f1_best,val_loss_last,val_loss_best,l_intra_last,l_inter_last,grad_var_last,grad_var_min,barren_plateau_any,barren_plateau_ok
0.0,1.0,5,7084.3133470299945,0.26203872878613943,0.26203872878613943,1.2614227292616047,1.2614227292616047,0.25335347057187796,-0.8139195361943496,0.0015984712589272817,0.0003400040469294439,False,True
0.0,0.66,5,7096.432643942011,0.25626601198067855,0.25626601198067855,1.5287277567422701,1.5287277567422701,0.2561071801368103,-0.8150046103676026,0.001567305183326714,0.0003400040469294439,False,True
0.0,0.33,5,7242.668138754001,0.2554345589925012,0.2554345589925012,1.7850728983048152,1.7850728983048152,0.25640131854591947,-0.8153566289879646,0.0015642816492064972,0.0003400040469294439,False,True
0.33,0.66,5,7337.711223787977,0.25063818402990395,0.25063818402990395,1.6220623824966645,1.6220623824966645,0.23230888222039367,-0.8074159654253071,0.0014713409888832745,0.0003400040469294439,False,True
0.0,0.0,5,7161.372822383011,0.24596340167195957,0.24596340167195957,2.0914969193307975,2.0914969193307975,0.22816257271249066,-0.80637817882445,0.001439885867457742,0.0003400040469294439,False,True
0.33,0.33,5,7205.466795568005,0.2450796514363923,0.2450796514363923,1.8925142426714952,1.8925142426714952,0.22829075183578315,-0.807132667530041,0.0014608620858889262,0.0003400040469294439,False,True
0.66,1.0,5,6258.327763671987,0.244230151693399,0.244230151693399,1.4213871490478045,1.4213871490478045,0.22873442057853488,-0.8075564936565173,0.001489897902523764,0.0003400040469294439,False,True
0.33,0.0,5,7089.311875780986,0.2440353336142692,0.2440353336142692,2.1586735594684385,2.1586735594684385,0.22743805432805095,-0.8067758957083127,0.001457459599506054,0.0003400040469294439,False,True
0.66,0.66,5,6333.064915391005,0.24365738890411334,0.24365738890411334,1.69538935485344,1.69538935485344,0.22819250598786575,-0.8073266057952401,0.0014851073194037242,0.0003400040469294439,False,True
0.66,0.33,5,6256.285495900986,0.24352667811843454,0.24352667811843454,1.960888193941259,1.960888193941259,0.22756362941766106,-0.807068694081851,0.0014815004248817558,0.0003400040469294439,False,True
1.0,1.0,5,6255.395534882962,0.24312820962452125,0.24312820962452125,1.4924937939513192,1.4924937939513192,0.2281077762265277,-0.8075574676508535,0.0015186819084606294,0.0003400040469294439,False,True
0.66,0.0,5,6283.297252750985,0.24176563604878717,0.24176563604878717,2.227260527698386,2.227260527698386,0.2271957707490265,-0.8067236116361617,0.0014801320279523183,0.0003400040469294439,False,True
1.0,0.66,5,6254.260631265992,0.24117795321745597,0.24117795321745597,1.765695409989812,1.765695409989812,0.22757844007045436,-0.8072248205645929,0.0015138563987398856,0.0003400040469294439,False,True
1.0,0.33,5,6253.213690895034,0.2401903577144747,0.2401903577144747,2.031397709854516,2.031397709854516,0.22722897250675275,-0.8069872892403103,0.0015118840300585394,0.0003400040469294439,False,True
0.33,1.0,5,6392.720594404003,0.24014192347931532,0.24014192347931532,1.3329868592214538,1.3329868592214538,0.26411904875053427,-0.8186641317784575,0.0015064943024141347,0.0003400040469294439,False,True
1.0,0.0,5,6247.665259101021,0.23839261532134587,0.23839261532134587,2.298142674559966,2.298142674559966,0.226946520107853,-0.8066938169085315,0.0015136943425994344,0.0003400040469294439,False,True
