n_qubits,p,n_pairs,resid_max,resid_mean,resid_median
1,0.0,64,0.0,0.0,0.0
1,0.01,64,2.220446049250313e-16,6.505213034913027e-17,5.551115123125783e-17
1,0.05,64,2.220446049250313e-16,5.659535340374333e-17,5.551115123125783e-17
1,0.1,64,1.6653345369377348e-16,5.204170427930421e-17,5.551115123125783e-17
1,0.3,64,1.1102230246251565e-16,4.358492733391728e-17,5.551115123125783e-17
1,0.5,64,1.1102230246251565e-16,1.5937771935536915e-17,0.0
1,0.7,64,8.326672684688674e-17,1.929879867024198e-17,2.0816681711721685e-17
1,1.0,64,0.0,0.0,0.0
2,0.0,64,0.0,0.0,0.0
2,0.01,64,7.771561172376096e-16,1.5005358067199381e-16,1.1102230246251565e-16
2,0.05,64,4.440892098500626e-16,1.196959198423997e-16,1.1102230246251565e-16
2,0.1,64,7.771561172376096e-16,1.5178830414797062e-16,1.1102230246251565e-16
2,0.3,64,3.885780586188048e-16,8.673617379884035e-17,5.551115123125783e-17
2,0.5,64,2.7755575615628914e-16,6.158268339717665e-17,5.551115123125783e-17
2,0.7,64,1.3877787807814457e-16,3.9898639947466563e-17,2.7755575615628914e-17
2,1.0,64,0.0,0.0,0.0
3,0.0,64,0.0,0.0,0.0
3,0.01,64,8.881784197001252e-16,2.0296264668928643e-16,2.220446049250313e-16
3,0.05,64,6.661338147750939e-16,1.97758476261356e-16,1.1102230246251565e-16
3,0.1,64,8.881784197001252e-16,2.0122792321330962e-16,1.1102230246251565e-16
3,0.3,64,6.661338147750939e-16,1.6306400674181987e-16,1.1102230246251565e-16
3,0.5,64,3.3306690738754696e-16,7.37257477290143e-17,5.551115123125783e-17
3,0.7,64,1.942890293094024e-16,6.201636426617085e-17,5.551115123125783e-17
3,1.0,64,0.0,0.0,0.0
